Feature,Mean_|SHAP|,Mean_SHAP,Std_SHAP
DE_50hertz_load_actual_entsoe_transparency,0.0006275404,0.0004726827,0.0010132092
DE_amprion_load_actual_entsoe_transparency,0.0005907615,1.0924217e-05,0.0010069817
DE_tennet_load_actual_entsoe_transparency,0.00055527675,-8.584193e-05,0.0010259362
DE_transnetbw_load_actual_entsoe_transparency,0.00029529116,-5.3621978e-05,0.0007072976
target_load_ema_6,0.0002306886,7.516762e-06,0.0007607801
target_load_rolling_mean_3,0.00018444196,5.952116e-05,0.0005311073
target_load_lag_1,0.00013744463,2.7506563e-05,0.0004569612
DE_50hertz_wind_offshore_generation_actual,0.00012286492,4.0295807e-05,0.00041837254
target_load_rolling_mean_12,0.00011685411,3.8194532e-05,0.00042296635
month,0.00011424159,2.6122118e-05,0.0004029848
target_load_ema_24,0.000112777416,-2.0540021e-05,0.00039837952
hour_sin,0.000112163325,-1.7240221e-05,0.00040300848
DE_50hertz_solar_generation_actual_lag_6,0.000112087604,-2.0638177e-05,0.0004828245
target_load_same_hour_last_week,0.0001111819,1.9137027e-05,0.00040865332
time_of_day_Night,0.000108662505,-5.3529934e-06,0.0004436787
target_load_ema_12,0.00010520281,3.772354e-06,0.00043328753
days_since_start,0.00010234032,6.3296266e-06,0.0003910849
is_friday,0.00010201372,3.425637e-05,0.00033824728
target_load_lag_2,0.00010182514,2.1352946e-05,0.00034349132
target_load_rolling_mean_6,0.00010167077,2.150015e-05,0.0003562423
day_of_week_sin,0.00010125279,7.068189e-06,0.00037702842
DE_50hertz_solar_generation_actual_lag_24,9.9516714e-05,2.1830218e-05,0.00033867164
is_weekend,9.808441e-05,-1.8381768e-05,0.00033746817
DE_tennet_wind_offshore_generation_actual,9.6565615e-05,-1.4389931e-05,0.00033437295
DE_solar_generation_actual_lag_24,9.64129e-05,-1.91371e-06,0.00033747707
time_of_day_Evening,9.369841e-05,-3.37495e-05,0.0003541026
target_load_lag_168,9.307233e-05,1.2313536e-05,0.00032975743
DE_50hertz_wind_generation_actual,9.290173e-05,1.1293143e-05,0.00033287075
target_load_rolling_std_24,9.158693e-05,1.945361e-05,0.00034733413
target_load_lag_48,9.085208e-05,-8.288083e-06,0.00033012213
target_load_rolling_std_3,8.924152e-05,4.153025e-05,0.00036982656
time_of_day_Morning,8.8481785e-05,3.809894e-05,0.00035471516
DE_amprion_wind_onshore_generation_actual,8.787608e-05,1.8433391e-05,0.00030261572
DE_transnetbw_solar_generation_actual,8.716045e-05,-7.4817494e-06,0.0003144355
DE_solar_generation_actual_lag_6,8.5649284e-05,7.52148e-06,0.000311388
day_of_month,8.554289e-05,1.3524166e-05,0.00034624003
month_sin,8.51395e-05,9.86651e-06,0.00032701934
target_load_rolling_mean_24,8.42259e-05,1.0328491e-05,0.00035374312
control_regions_complete,8.405915e-05,2.4573972e-05,0.0003285689
day_of_week_cos,8.4003856e-05,1.8256324e-05,0.00036559752
target_load_lag_24,8.3993116e-05,3.4970846e-05,0.0003225223
target_load_lag_6,8.2443476e-05,3.5934163e-06,0.00038296919
month_cos,8.2399136e-05,-2.8495572e-06,0.00030974965
DE_wind_onshore_generation_actual,8.1433536e-05,-1.2634596e-06,0.00033123163
DE_solar_generation_actual_lag_1,8.0204554e-05,-3.371409e-06,0.00031514902
quarter,7.9981706e-05,-1.2094495e-05,0.0003322887
DE_wind_offshore_generation_actual,7.955459e-05,1.529563e-05,0.00029646335
target_load_rolling_std_12,7.9533864e-05,-1.1902965e-05,0.00033147688
DE_transnetbw_wind_onshore_generation_actual,7.9405814e-05,-1.3900225e-05,0.00031800554
season_Summer,7.8088524e-05,-1.2332073e-05,0.00030904802
temp_proxy,7.8023164e-05,1.8319002e-05,0.00034461328
DE_amprion_solar_generation_actual,7.744385e-05,1.4895773e-05,0.00031895217
week_of_year,7.6402204e-05,4.641679e-05,0.000348463
solar_proxy,7.573507e-05,1.3128927e-05,0.00027334032
DE_50hertz_solar_generation_actual,7.5538344e-05,9.989078e-06,0.0003280651
hour,7.491206e-05,-7.3138285e-06,0.0003098429
DE_tennet_wind_onshore_generation_actual,7.409759e-05,-6.56285e-06,0.000312077
season_Winter,6.699842e-05,-2.1142017e-05,0.0002864055
year,6.624976e-05,1.4883809e-05,0.00026869244
DE_tennet_wind_generation_actual,6.604574e-05,1.5306136e-05,0.0002761685
is_monday,6.374874e-05,2.2265294e-06,0.00024540952
target_load_lag_3,6.3744e-05,-1.9704176e-07,0.0002686485
DE_50hertz_solar_generation_actual_lag_1,6.275514e-05,2.0128287e-05,0.00025470517
target_load_rolling_std_6,6.0968603e-05,1.3217082e-05,0.00023323928
DE_tennet_solar_generation_actual,5.9383656e-05,1.7431348e-05,0.0003345709
wind_proxy,5.904579e-05,-4.954169e-06,0.00028327352
day_of_week,5.5934375e-05,1.4849585e-05,0.00024327142
target_load_lag_12,5.570279e-05,3.1205298e-05,0.00035606592
DE_wind_generation_actual,5.2147472e-05,-5.0475264e-06,0.00023163018
DE_50hertz_wind_onshore_generation_actual,5.176836e-05,-4.786549e-06,0.00024730503
DE_solar_generation_actual,5.0124854e-05,1.5238445e-05,0.00025456498
hour_cos,4.035869e-05,3.998306e-06,0.00017717101
season_Spring,3.7163623e-05,-1.2014161e-06,0.00019706572
DE_LU_solar_generation_actual,0.0,0.0,0.0
DE_LU_wind_offshore_generation_actual,0.0,0.0,0.0
DE_LU_wind_generation_actual,0.0,0.0,0.0
DE_LU_price_day_ahead,0.0,0.0,0.0
DE_LU_wind_onshore_generation_actual,0.0,0.0,0.0
is_holiday,0.0,0.0,0.0
DE_LU_solar_generation_actual_lag_6,0.0,0.0,0.0
DE_LU_solar_generation_actual_lag_1,0.0,0.0,0.0
DE_LU_solar_generation_actual_lag_24,0.0,0.0,0.0
